Code,Name,CO2,Population,Energy_consumption,Traffic_flow,Energy_consumption_per_person
E09000001,City of London,461.9835027,8046,2543182341,117,316080.3307
E09000002,Barking and Dagenham,1117.685373,218367,2182286330,559,9993.663557
E09000003,Barnet,730.28219,407148,5365272385,1448,13177.69554
E09000004,Bexley,890.0413039,254970,3533830130,869,13859.78794
E09000005,Brent,913.8967026,343853,4273343516,883,12427.82095
E09000006,Bromley,934.7943072,336395,4422470182,1195,13146.65849
E09000007,Camden,530.3166843,257384,4514541991,392,17540.10347
E09000008,Croydon,964.8806927,400272,4644220887,1136,11602.66241
E09000009,Ealing,995.5278435,361833,4734207726,1162,13083.95786
E09000010,Enfield,992.9473717,342993,4662409753,1441,13593.30876
E09000011,Greenwich,707.4729804,292466,3353144580,1029,11465.07485
E09000012,Hackney,553.6673815,289488,2662633794,390,9197.7346
E09000013,Hammersmith and Fulham,569.3242896,190721,2758196004,411,14461.94181
E09000014,Haringey,595.088363,288913,2930177591,454,10142.07596
E09000015,Harrow,574.9816328,261348,2806003866,520,10736.65712
E09000016,Havering,862.2861745,261830,3901303777,1565,14900.14046
E09000017,Hillingdon,1523.381388,316253,6887449063,1990,21778.28847
E09000018,Hounslow,894.9717314,284358,4232887460,1319,14885.76885
E09000019,Islington,576.171794,242827,2843606863,316,11710.42291
E09000020,Kensington and Chelsea,665.941636,160794,3271220930,425,20344.17285
E09000021,Kingston,468.2072235,182728,2241206780,813,12265.26192
E09000022,Lambeth,767.6094822,340324,3740396727,626,10990.69336
E09000023,Lewisham,597.7483022,317465,2929048720,633,9226.367379
E09000024,Merton,553.8654921,212658,2674526772,544,12576.65722
E09000025,Newham,849.710823,363552,4094288335,805,11261.90568
E09000026,Redbridge,689.1270752,312264,3288440926,1034,10530.96395
E09000027,Richmond,556.1339983,201713,2700328150,700,13386.98126
E09000028,Southwark,781.6766582,330290,3796354566,596,11494.00395
E09000029,Sutton,500.9844909,211297,2450050154,615,11595.29077
E09000030,Tower Hamlets,997.0523948,328043,4682639688,737,14274.46916
E09000031,Waltham Forest,573.7008042,290024,2771986143,715,9557.781918
E09000032,Wandsworth,788.4532413,332731,3805480348,658,11437.1079
E09000033,Westminster,1464.420874,259981,6957411986,641,26761.2325
