Year,CO2,GDP,Population,Total patents,Traffic flow
2021,28671.46169,526524,8796628,10899,29698
2020,28134.08205,488161,9002488,9772,26737
2019,31377.34,515317,8961989,5948,32612
2018,31023.20494,498314,8908081,5982,32175
2017,30320.36376,479368,8825001,6311,32276
2016,31355.90507,463688,8769659,5602,32320
2015,34105.92621,436352,8673713,5464,31624
2014,37943.18353,420559,8538689,4986,31673
2013,40874.9835,393879,8416543,5235,31084
2012,40750.4899,374143,8308369,6864,31126
2011,38994.15699,359927,8204407,7173,31375
2010,43790.61155,343463,8061495,5594,31949
